base_slice,threads,task_clock_cpu_utilized,task_clock_time_ms,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,stalled_cycles_backend,stalled_cycles_per_insn,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys,records
50ms,1560,103.7616,12670617.913999999,3564734.5,238961.4,28135.4,38468584236300.6,566463137679.4,28421137611339.9,2.944,9684141881537.2,527016933121.8,1078498827.5,122.11302939789998,12359.671554400002,315.60773989999996,904596.6
50ms,1664,103.77310000000003,12885676.309,3418735.9,239156.1,23033.5,39130673723270.1,558364761470.1,28736737456159.0,2.8790000000000004,10021100729651.7,574173333202.3,1053747628.9,124.1712394657,12556.0817514,336.16033550000003,928152.2
50ms,1768,103.7234,12882737.206999999,3856223.6,291076.7,24295.1,39112873286152.5,600206992392.4,28652509103019.9,2.846,10076671019470.1,594759471282.3,1113262314.1,124.20305342370003,12453.586175,436.26438079999997,925746.0
50ms,1872,103.7154,12866133.118,4653353.0,361747.7,24909.3,39051683347258.8,676345447772.9,28546152520505.6,2.8330000000000006,10094783167269.4,624777538293.3,1214858572.0,124.0523307787,12264.4809268,609.5498593,911998.7
50ms,1976,103.7596,12926582.956,2123619.7,183414.4,26294.8,39273047161337.0,456021976404.3,28504527464590.8,2.732,10440297308298.2,601249491537.7,884171858.9,124.5821371448,12650.141800000001,280.0714916,962576.6
50ms,2080,103.81270000000002,12974502.224000001,2900289.3,243949.5,26851.9,39404521692780.6,544332435975.5,28704499458058.3,2.782,10337667165369.0,627379515877.2,984896760.4,124.97965226289998,12553.7741102,421.9711488,940740.4
60ms,104,103.6941,12447997.175999997,10495.7,323.9,6247.6,37899558511811.8,228436636310.1,26932676092749.5,2.5379999999999994,10614179634002.7,524440495768.7,586842818.0,120.04545237480002,12447.667312,0.44699810000000006,1018329.3
60ms,208,103.60799999999999,12445713.44,184178.9,13227.7,10793.6,37887907728785.1,231382135981.3,26931070371199.7,2.5389999999999997,10609188647476.6,524492741977.2,595041076.6,120.12321165799999,12445.143666700002,3.7388154,1016993.7
60ms,312,103.56580000000001,12447908.597,201791.2,26394.9,14372.5,37889805915692.8,233102588749.6,26945358509002.2,2.5409999999999995,10599295677671.1,524292994970.9,596672331.9,120.1930397759,12447.084745999999,5.9345502,1016941.4
60ms,416,103.55019999999999,12454914.598000001,201867.5,25128.8,18086.8,37907877229472.0,233510639928.2,26964689069821.9,2.544,10599473366041.2,524462461483.2,596816500.0,120.27879420000002,12454.222527400001,7.8962311,1016259.6
60ms,520,103.5961,12468516.448000003,203302.3,31629.1,20539.1,37946733968087.1,234122971669.5,26997542821120.6,2.5469999999999997,10602457727669.7,524855743316.6,598116189.1,120.35676139920004,12467.571997800002,10.795779,1016564.7
60ms,624,103.4674,12465922.537,199145.4,25930.2,22353.4,37933448430012.1,234086489979.6,26989765054051.4,2.5429999999999997,10606039339230.8,524780414843.7,597691190.8,120.48183261470001,12464.571391200001,13.233238600000002,1015376.4
60ms,728,103.6753,12559052.711,209221.2,23862.2,22487.1,38213338943966.7,241315682178.7,27236186726344.3,2.561,10629749012158.1,535144496842.0,597998334.8,121.1383751714,12557.184112600002,14.668635400000003,1016373.0
60ms,832,103.62069999999999,12576818.501,211384.5,23203.7,22716.2,38266358080590.2,242608238225.7,27280202062353.7,2.5629999999999997,10641509751169.8,537747145339.7,599212896.5,121.3737927499,12574.409422699999,16.494137000000002,1016849.8
60ms,936,103.6655,12629937.194999998,237462.6,30547.1,23224.5,38420724355141.3,260442854368.3,27561228168455.8,2.617,10531085674503.6,536193223530.0,614347338.8,121.83347616579996,12623.054128799999,21.433915000000002,1002384.3
60ms,1040,103.6393,12601027.102999998,349247.1,41696.9,27287.4,38320986548082.7,278936049174.6,27574942947851.3,2.644,10427489183175.0,528357548444.5,639705632.0,121.5855886692,12582.835428100001,32.6234024,992389.7
60ms,1144,103.69030000000001,12646178.890999999,678135.2,52884.1,23020.6,38447249847734.7,323534278859.0,27887103364534.3,2.7269999999999994,10244905634826.1,525981639028.9,691482504.6,121.96049745830001,12600.300047199999,55.4878609,972995.7
60ms,1248,103.6557,12617066.559,759612.7,70041.1,27636.3,38355828931919.6,325731565642.2,27789555904162.0,2.713,10249164544776.3,524143491656.5,701622698.5,121.72067664379999,12564.627115400002,63.4365898,973385.2
60ms,1352,103.69869999999999,12784909.774,1572811.4,103871.7,21259.7,38854393042336.1,401322029053.5,28375511434379.1,2.7969999999999997,10161941311944.4,544453561508.6,820030819.1,123.2889433927,12669.1088283,126.15407990000001,959529.2
60ms,1456,103.6971,12780253.62,2351735.9,146274.1,24090.7,38828559648147.7,457883965173.0,28371487059788.9,2.816,10108664183931.8,551693355787.1,911839572.2,123.2462108817,12580.1588476,211.16116090000006,949266.8
60ms,1560,103.67350000000002,12810217.162,1495022.7,111451.8,24414.5,38936512904046.3,377291403518.0,28169696447357.6,2.704,10423723203559.3,563528155881.5,787402244.3,123.5635926257,12681.9524501,138.5494768,979002.6
